title,metascore,user_score
Project Runway: Season 6,80,6.6
Curb Your Enthusiasm: Season 1,80,8.5
Justified: Season 1,80,9.1
Keep Sweet: Pray and Obey: Season 1,80,6.7
Generation Kill: Season 1,80,8.6
Deadwood: Season 1,80,9.1
GLOW: Season 3,80,7.1
Insecure: Season 5,80,6.3
Atlanta's Missing and Murdered: The Lost Children: Season 1,80,7.7
Buffy the Vampire Slayer: Season 1,80,8.2
Southland: Season 3,80,8.6
Better Things: Season 1,80,7.8
13 Reasons Why: Season 1,76,7.6
Gomorrah (2016): Season 1,76,8.2
House of Cards (2013): Season 1,76,8.9
Doctor Who: Season 5,76,8.4
The Serpent Queen: Season 1,76,7.1
The Tenth Inning: Season 1,76,7.2
Last Week Tonight with John Oliver: Season 1,76,8.2
Blindspotting: Season 1,76,5.6
The Terror: Season 1,76,7.8
Luther: Season 3,76,5.6
Single Drunk Female: Season 1,76,6
The Defiant Ones (2017),76,7.8
Manhunt (2013),76,8.2
24: Season 1,88,8.8
Veep: Season 5,88,8.5
Freaks and Geeks: Season 1,88,8.8
Kurt Cobain: Montage of Heck,88,7.5
Curb Your Enthusiasm: Season 4,88,8.8
Robin Williams: Come Inside My Mind,78,8
Luther: Season 2,78,6.1
Great Migrations: Season 1,78,tbd
Push Girls: Season 1,78,4.6
Narcos: Season 3,78,8.4
Years and Years: Season 1,78,7.5
Becoming Chaz: Season 1,78,6.3
Mood: Season 1,78,tbd
The Adam Carolla Project: Season 3,78,8.1
Angie Tribeca: Season 1,78,6.6
Ms. Marvel: Season 1,78,4.4
Community: Season 6,78,8.3
Work in Progress: Season 1,78,4.9
The Long Road Home: Season 1,80,4.6
Never Have I Ever: Season 1,80,7.4
Manhattan: Season 2,80,8.4
Torchwood (UK): Season 2,80,7.8
From the Earth to the Moon: Season 1,80,6.5
Lupin: Season 2,80,5.9
The Good Fight: Season 1,80,7.2
Jane the Virgin: Season 1,80,7.9
Five Days: Season 1,80,7.2
Community: Season 5,80,8.8
"I Love You, Now Die: The Commonwealth v. Michelle Carter",80,8.1
"The Thief, His Wife and the Canoe: Season 1",80,tbd
Project Greenlight: Season 4,80,7.2
The Ghost Army,80,tbd
Endeavour: Season 1,80,8.1
Circus: Season 1,80,4.7
Dream On: Season 1,80,tbd
The Wonder Years: Season 1,80,8.1
Trainwreck: Woodstock '99: Season 1,76,6.5
Loudermilk: Season 1,76,6.3
Preacher: Season 2,76,7.5
Benjamin Franklin: Season 1,76,tbd
Whitechapel: Season 1,76,7.6
Counterpart: Season 1,76,7.4
Julia (2022): Season 1,76,7.8
Servant: Season 2,76,6.8
Pose: Season 3,76,6.5
Challenger: The Final Flight,76,tbd
American Vandal: Season 2,76,7.9
The Lady and the Dale: Season 1,76,5.2
The Vow (2020): Season 1,76,6.3
Star Trek: Picard: Season 1,76,5.9
Evil: Season 1,76,7.2
Boardwalk Empire: Season 3,76,8.6
Glee: Season 2,76,7.5
Muhammad Ali,88,4.6
Back to Life: Season 1,88,6.5
Archer: Season 2,88,9.1
Casual: Season 2,88,7.2
Extras: Season 2,88,8.7
Treme: Season 1,88,7.9
Mad Men: Season 2,88,8.9
Malcolm in the Middle: Season 1,88,9
Mad Men: Season 6,88,8.5
The Sopranos: Season 1,88,9.1
Documentary Now!: Season 3,88,6.3
All Creatures Great and Small (2021): Season 2,88,7.2
Better Call Saul: Season 4,87,9.2
Springsteen on Broadway,87,7.6
Southland: Season 4,87,8.5
Lenox Hill: Season 1,87,8
Better Call Saul: Season 3,87,9.2
The Responder: Season 1,87,tbd
UnReal: Season 1,78,8.3
Sharp Objects: Season 1,78,7
Dave Chappelle: The Age of Spin,78,8.4
Cheers: Season 1,80,8.4
Players (2022): Season 1,80,7.2
Narcos: Mexico: Season 1,80,8.1
The Walking Dead: Season 5,80,7.1
Rap Sh!t: Season 1,80,5
The Baby-Sitters Club (2020): Season 1,87,7.2
Veep: Season 7,87,7.9
John Mulaney & The Sack Lunch Bunch: Season 1,87,5.3
Lost: Season 4,87,8.7
Mad Men: Season 3,87,9
I Think You Should Leave with Tim Robinson: Season 2,87,6.9
Catastrophe: Season 2,87,7.8
Borgen - Power & Glory: Season 1,87,5.7
Top Of The Lake: Season 1,87,7.1
Cancer: The Emperor of  All Maladies,78,7.2
Damages: Season 4,78,7.5
John Adams: Season 1,78,8.5
Men of a Certain Age: Season 1,78,8.6
Search Party (2016): Season 2,78,7
The Golden Globe Awards,78,3.6
Beware The Slenderman,78,5.5
Slow Horses: Season 1,78,7.7
Project Greenlight: Season 1,78,8
The Last Kingdom: Season 1,78,8.3
Stranger Things: Season 2,78,8.1
The Affair: Season 2,78,7.5
Last Tango in Halifax: Season 1,78,7.2
The Newspaperman: The Life and Times of Ben Bradlee,80,3.5
Abbott Elementary: Season 1,80,5.8
The Walking Dead: Season 2,80,7.1
Frasier: Season 1,80,8.3
Game of Thrones: Season 1,80,9.1
Never Have I Ever: Season 2,80,7
Girls5eva: Season 1,80,6.2
Northern Exposure: Season 1,80,7.2
The Challenger Disaster: Season 1,80,8.3
Dark Winds: Season 1,80,6.3
Doctor Who: Season 8,80,7.1
The Staircase (2022): Season 1,80,7.2
ER: Season 1,80,8.3
Barry: Season 2,87,8.9
Felicity: Season 1,87,8.5
The Good Place: Season 2,87,8.5
Ed: Season 1,87,6.6
Mrs. America: Season 1,87,7.2
Thurgood,78,tbd
Hopkins: Season 1,78,8.4
In My Skin: Season 1,78,7.5
Dear White People (2017): Season 3,78,4.9
Sweet Tooth: Season 1,78,6.6
Love Life: Season 2,78,6.4
Lost: Season 5,78,8.6
Flight of the Conchords: Season 2,80,7.4
The Marvelous Mrs. Maisel: Season 1,80,8.1
House of Cards (2013): Season 2,80,8.7
What We Do in the Shadows (2019): Season 1,80,8.4
The Carmichael Show: Season 2,80,7.1
The Other Two: Season 1,79,8.1
Les Miserables (2019),79,6.9
Orange is the New Black: Season 1,79,8.4
Orphan Black: Season 2,79,7.6
Desperate Housewives: Season 1,79,8.7
Friday Night Lights: Season 4,87,8.7
City of Men: Season 1,87,8.2
Pachinko: Season 1,87,7.8
UnReal: Season 2,87,7.4
Tuca & Bertie: Season 2,87,6.8
Girls: Season 1,87,6.6
The Good Place: Season 1,78,8.1
Friday Night Lights: Season 1,78,9.1
All The Way (2016),78,7.2
The Flight Attendant: Season 1,78,6.5
Glee: Season 1,78,7.7
Speechless (2016): Season 1,79,7
The Wrong Mans: Season 1,79,8.5
